name,ability,hp,atk,def,spdef,spatk,spd,gender,evolution_level,evolves_into,method,egg_group
heatran,"flash-fire, flame-body",91,90,106,106,130,77,50% Male, 50% Female,,,,"no-eggs"
regigigas,"slow-start",110,160,110,110,80,100,Genderless,,,,"no-eggs"
giratina-altered,"pressure, telepathy",150,100,120,120,100,90,Genderless,,,,"no-eggs"
cresselia,"levitate",120,70,110,120,75,85,Female only,,,,"no-eggs"
phione,"hydration",80,80,80,80,80,80,Genderless,,manaphy,,"water1, fairy"
manaphy,"hydration",100,100,100,100,100,100,Genderless,,manaphy,,"water1, fairy"
darkrai,"bad-dreams",70,90,90,90,135,125,Genderless,,,,"no-eggs"
shaymin-land,"natural-cure",100,100,100,100,100,100,Genderless,,,,"no-eggs"
arceus,"multitype",120,120,120,120,120,120,Genderless,,,,"no-eggs"
victini,"victory-star",100,100,100,100,100,100,Genderless,,,,"no-eggs"
snivy,"overgrow, contrary",45,45,55,55,45,63,87.5% Male, 12.5% Female,17,servine,level-up,"ground, plant"
servine,"overgrow, contrary",60,60,75,75,60,83,87.5% Male, 12.5% Female,17,servine,level-up,"ground, plant"
serperior,"overgrow, contrary",75,75,95,95,75,113,87.5% Male, 12.5% Female,17,servine,level-up,"ground, plant"
tepig,"blaze, thick-fat",65,63,45,45,45,45,87.5% Male, 12.5% Female,17,pignite,level-up,"ground"
pignite,"blaze, thick-fat",90,93,55,55,70,55,87.5% Male, 12.5% Female,17,pignite,level-up,"ground"
emboar,"blaze, reckless",110,123,65,65,100,65,87.5% Male, 12.5% Female,17,pignite,level-up,"ground"
oshawott,"torrent, shell-armor",55,55,45,45,63,45,87.5% Male, 12.5% Female,17,dewott,level-up,"ground"
dewott,"torrent, shell-armor",75,75,60,60,83,60,87.5% Male, 12.5% Female,17,dewott,level-up,"ground"
samurott,"torrent, shell-armor",95,100,85,70,108,70,87.5% Male, 12.5% Female,17,dewott,level-up,"ground"
patrat,"run-away, keen-eye, analytic",45,55,39,39,35,42,50% Male, 50% Female,20,watchog,level-up,"ground"
watchog,"illuminate, keen-eye, analytic",60,85,69,69,60,77,50% Male, 50% Female,20,watchog,level-up,"ground"
lillipup,"vital-spirit, pickup, run-away",45,60,45,45,25,55,50% Male, 50% Female,16,herdier,level-up,"ground"
herdier,"intimidate, sand-rush, scrappy",65,80,65,65,35,60,50% Male, 50% Female,16,herdier,level-up,"ground"
stoutland,"intimidate, sand-rush, scrappy",85,110,90,90,45,80,50% Male, 50% Female,16,herdier,level-up,"ground"
purrloin,"limber, unburden, prankster",41,50,37,37,50,66,50% Male, 50% Female,20,liepard,level-up,"ground"
liepard,"limber, unburden, prankster",64,88,50,50,88,106,50% Male, 50% Female,20,liepard,level-up,"ground"
pansage,"gluttony, overgrow",50,53,48,48,53,64,87.5% Male, 12.5% Female,,simisage,use-item,"ground"
simisage,"gluttony, overgrow",75,98,63,63,98,101,87.5% Male, 12.5% Female,,simisage,use-item,"ground"
pansear,"gluttony, blaze",50,53,48,48,53,64,87.5% Male, 12.5% Female,,simisear,use-item,"ground"
simisear,"gluttony, blaze",75,98,63,63,98,101,87.5% Male, 12.5% Female,,simisear,use-item,"ground"
panpour,"gluttony, torrent",50,53,48,48,53,64,87.5% Male, 12.5% Female,,simipour,use-item,"ground"
simipour,"gluttony, torrent",75,98,63,63,98,101,87.5% Male, 12.5% Female,,simipour,use-item,"ground"
munna,"forewarn, synchronize, telepathy",76,25,45,55,67,24,50% Male, 50% Female,,musharna,use-item,"ground"
musharna,"forewarn, synchronize, telepathy",116,55,85,95,107,29,50% Male, 50% Female,,musharna,use-item,"ground"
pidove,"big-pecks, super-luck, rivalry",50,55,50,30,36,43,50% Male, 50% Female,21,tranquill,level-up,"flying"
tranquill,"big-pecks, super-luck, rivalry",62,77,62,42,50,65,50% Male, 50% Female,21,tranquill,level-up,"flying"
unfezant,"big-pecks, super-luck, rivalry",80,115,80,55,65,93,50% Male, 50% Female,21,tranquill,level-up,"flying"
blitzle,"lightning-rod, motor-drive, sap-sipper",45,60,32,32,50,76,50% Male, 50% Female,27,zebstrika,level-up,"ground"
zebstrika,"lightning-rod, motor-drive, sap-sipper",75,100,63,63,80,116,50% Male, 50% Female,27,zebstrika,level-up,"ground"
roggenrola,"sturdy, weak-armor, sand-force",55,75,85,25,25,15,50% Male, 50% Female,25,boldore,level-up,"mineral"
boldore,"sturdy, weak-armor, sand-force",70,105,105,40,50,20,50% Male, 50% Female,25,boldore,level-up,"mineral"
gigalith,"sturdy, sand-stream, sand-force",85,135,130,80,60,25,50% Male, 50% Female,25,boldore,level-up,"mineral"
woobat,"unaware, klutz, simple",65,45,43,43,55,72,50% Male, 50% Female,,swoobat,level-up,"ground, flying"
swoobat,"unaware, klutz, simple",67,57,55,55,77,114,50% Male, 50% Female,,swoobat,level-up,"ground, flying"
drilbur,"sand-rush, sand-force, mold-breaker",60,85,40,45,30,68,50% Male, 50% Female,31,excadrill,level-up,"ground"
excadrill,"sand-rush, sand-force, mold-breaker",110,135,60,65,50,88,50% Male, 50% Female,31,excadrill,level-up,"ground"
audino,"healer, regenerator, klutz",103,60,86,86,60,50,50% Male, 50% Female,,,,"fairy"
timburr,"guts, sheer-force, iron-fist",75,80,55,35,25,35,75% Male, 25% Female,25,gurdurr,level-up,"humanshape"
gurdurr,"guts, sheer-force, iron-fist",85,105,85,50,40,40,75% Male, 25% Female,25,gurdurr,level-up,"humanshape"
conkeldurr,"guts, sheer-force, iron-fist",105,140,95,65,55,45,75% Male, 25% Female,25,gurdurr,level-up,"humanshape"
tympole,"swift-swim, hydration, water-absorb",50,50,40,40,50,64,50% Male, 50% Female,25,palpitoad,level-up,"water1"
palpitoad,"swift-swim, hydration, water-absorb",75,65,55,55,65,69,50% Male, 50% Female,25,palpitoad,level-up,"water1"
seismitoad,"swift-swim, poison-touch, water-absorb",105,95,75,75,85,74,50% Male, 50% Female,25,palpitoad,level-up,"water1"
throh,"guts, inner-focus, mold-breaker",120,100,85,85,30,45,Male only,,,,"humanshape"
sawk,"sturdy, inner-focus, mold-breaker",75,125,75,75,30,85,Male only,,,,"humanshape"
sewaddle,"swarm, chlorophyll, overcoat",45,53,70,60,40,42,50% Male, 50% Female,20,swadloon,level-up,"bug"
swadloon,"leaf-guard, chlorophyll, overcoat",55,63,90,80,50,42,50% Male, 50% Female,20,swadloon,level-up,"bug"
leavanny,"swarm, chlorophyll, overcoat",75,103,80,80,70,92,50% Male, 50% Female,20,swadloon,level-up,"bug"
venipede,"poison-point, swarm, speed-boost",30,45,59,39,30,57,50% Male, 50% Female,22,whirlipede,level-up,"bug"
whirlipede,"poison-point, swarm, speed-boost",40,55,99,79,40,47,50% Male, 50% Female,22,whirlipede,level-up,"bug"
scolipede,"poison-point, swarm, speed-boost",60,100,89,69,55,112,50% Male, 50% Female,22,whirlipede,level-up,"bug"
cottonee,"prankster, infiltrator, chlorophyll",40,27,60,50,37,66,50% Male, 50% Female,,whimsicott,use-item,"plant, fairy"
whimsicott,"prankster, infiltrator, chlorophyll",60,67,85,75,77,116,50% Male, 50% Female,,whimsicott,use-item,"plant, fairy"
petilil,"chlorophyll, own-tempo, leaf-guard",45,35,50,50,70,30,Female only,,lilligant,use-item,"plant"
lilligant,"chlorophyll, own-tempo, leaf-guard",70,60,75,75,110,90,Female only,,lilligant,use-item,"plant"
basculin-red-striped,"reckless, adaptability, mold-breaker",70,92,65,55,80,98,50% Male, 50% Female,,basculegion,recoil-damage,"water2"
sandile,"intimidate, moxie, anger-point",50,72,35,35,35,65,50% Male, 50% Female,29,krokorok,level-up,"ground"
krokorok,"intimidate, moxie, anger-point",60,82,45,45,45,74,50% Male, 50% Female,29,krokorok,level-up,"ground"
krookodile,"intimidate, moxie, anger-point",95,117,80,70,65,92,50% Male, 50% Female,29,krokorok,level-up,"ground"
darumaka,"hustle, inner-focus",70,90,45,45,15,50,50% Male, 50% Female,35,darmanitan,level-up,"ground"
darmanitan-standard,"sheer-force, zen-mode",105,140,55,55,30,95,50% Male, 50% Female,35,darmanitan,level-up,"ground"
maractus,"water-absorb, chlorophyll, storm-drain",75,86,67,67,106,60,50% Male, 50% Female,,,,"plant"
dwebble,"sturdy, shell-armor, weak-armor",50,65,85,35,35,55,50% Male, 50% Female,34,crustle,level-up,"bug, mineral"
crustle,"sturdy, shell-armor, weak-armor",70,105,125,75,65,45,50% Male, 50% Female,34,crustle,level-up,"bug, mineral"
scraggy,"shed-skin, moxie, intimidate",50,75,70,70,35,48,50% Male, 50% Female,39,scrafty,level-up,"ground, dragon"
scrafty,"shed-skin, moxie, intimidate",65,90,115,115,45,58,50% Male, 50% Female,39,scrafty,level-up,"ground, dragon"
sigilyph,"wonder-skin, magic-guard, tinted-lens",72,58,80,80,103,97,50% Male, 50% Female,,,,"flying"
yamask,"mummy",38,30,85,65,55,30,50% Male, 50% Female,34,cofagrigus,level-up,"mineral, indeterminate"
cofagrigus,"mummy",58,50,145,105,95,30,50% Male, 50% Female,34,cofagrigus,level-up,"mineral, indeterminate"
tirtouga,"solid-rock, sturdy, swift-swim",54,78,103,45,53,22,87.5% Male, 12.5% Female,37,carracosta,level-up,"water1, water3"
carracosta,"solid-rock, sturdy, swift-swim",74,108,133,65,83,32,87.5% Male, 12.5% Female,37,carracosta,level-up,"water1, water3"
archen,"defeatist",55,112,45,45,74,70,87.5% Male, 12.5% Female,37,archeops,level-up,"flying, water3"
archeops,"defeatist",75,140,65,65,112,110,87.5% Male, 12.5% Female,37,archeops,level-up,"flying, water3"
trubbish,"stench, sticky-hold, aftermath",50,50,62,62,40,65,50% Male, 50% Female,36,garbodor,level-up,"mineral"
garbodor,"stench, weak-armor, aftermath",80,95,82,82,60,75,50% Male, 50% Female,36,garbodor,level-up,"mineral"
zorua,"illusion",40,65,40,40,80,65,87.5% Male, 12.5% Female,30,zoroark,level-up,"ground"
zoroark,"illusion",60,105,60,60,120,105,87.5% Male, 12.5% Female,30,zoroark,level-up,"ground"
minccino,"cute-charm, technician, skill-link",55,50,40,40,40,75,25% Male, 75% Female,,cinccino,use-item,"ground"
cinccino,"cute-charm, technician, skill-link",75,95,60,60,65,115,25% Male, 75% Female,,cinccino,use-item,"ground"
gothita,"frisk, competitive, shadow-tag",45,30,50,65,55,45,25% Male, 75% Female,32,gothorita,level-up,"humanshape"
gothorita,"frisk, competitive, shadow-tag",60,45,70,85,75,55,25% Male, 75% Female,32,gothorita,level-up,"humanshape"
gothitelle,"frisk, competitive, shadow-tag",70,55,95,110,95,65,25% Male, 75% Female,32,gothorita,level-up,"humanshape"
solosis,"overcoat, magic-guard, regenerator",45,30,40,50,105,20,50% Male, 50% Female,32,duosion,level-up,"indeterminate"
duosion,"overcoat, magic-guard, regenerator",65,40,50,60,125,30,50% Male, 50% Female,32,duosion,level-up,"indeterminate"
reuniclus,"overcoat, magic-guard, regenerator",110,65,75,85,125,30,50% Male, 50% Female,32,duosion,level-up,"indeterminate"
ducklett,"keen-eye, big-pecks, hydration",62,44,50,50,44,55,50% Male, 50% Female,35,swanna,level-up,"water1, flying"
swanna,"keen-eye, big-pecks, hydration",75,87,63,63,87,98,50% Male, 50% Female,35,swanna,level-up,"water1, flying"
vanillite,"ice-body, snow-cloak, weak-armor",36,50,50,60,65,44,50% Male, 50% Female,35,vanillish,level-up,"mineral"
vanillish,"ice-body, snow-cloak, weak-armor",51,65,65,75,80,59,50% Male, 50% Female,35,vanillish,level-up,"mineral"
vanilluxe,"ice-body, snow-warning, weak-armor",71,95,85,95,110,79,50% Male, 50% Female,35,vanillish,level-up,"mineral"
deerling,"chlorophyll, sap-sipper, serene-grace",60,60,50,50,40,75,50% Male, 50% Female,34,sawsbuck,level-up,"ground"
sawsbuck,"chlorophyll, sap-sipper, serene-grace",80,100,70,70,60,95,50% Male, 50% Female,34,sawsbuck,level-up,"ground"
emolga,"static, motor-drive",55,75,60,60,75,103,50% Male, 50% Female,,,,"ground"
karrablast,"swarm, shed-skin, no-guard",50,75,45,45,40,60,50% Male, 50% Female,,escavalier,trade,"bug"
escavalier,"swarm, shell-armor, overcoat",70,135,105,105,60,20,50% Male, 50% Female,,escavalier,trade,"bug"
foongus,"effect-spore, regenerator",69,55,45,55,55,15,50% Male, 50% Female,39,amoonguss,level-up,"plant"
amoonguss,"effect-spore, regenerator",114,85,70,80,85,30,50% Male, 50% Female,39,amoonguss,level-up,"plant"
frillish,"water-absorb, cursed-body, damp",55,40,50,85,65,40,50% Male, 50% Female,40,jellicent,level-up,"indeterminate"
jellicent,"water-absorb, cursed-body, damp",100,60,70,105,85,60,50% Male, 50% Female,40,jellicent,level-up,"indeterminate"
alomomola,"healer, hydration, regenerator",165,75,80,45,40,65,50% Male, 50% Female,,,,"water1, water2"
joltik,"compound-eyes, unnerve, swarm",50,47,50,50,57,65,50% Male, 50% Female,36,galvantula,level-up,"bug"
galvantula,"compound-eyes, unnerve, swarm",70,77,60,60,97,108,50% Male, 50% Female,36,galvantula,level-up,"bug"
ferroseed,"iron-barbs",44,50,91,86,24,10,50% Male, 50% Female,40,ferrothorn,level-up,"plant, mineral"
ferrothorn,"iron-barbs, anticipation",74,94,131,116,54,20,50% Male, 50% Female,40,ferrothorn,level-up,"plant, mineral"
klink,"plus, minus, clear-body",40,55,70,60,45,30,Genderless,38,klang,level-up,"mineral"
klang,"plus, minus, clear-body",60,80,95,85,70,50,Genderless,38,klang,level-up,"mineral"
klinklang,"plus, minus, clear-body",60,100,115,85,70,90,Genderless,38,klang,level-up,"mineral"
tynamo,"levitate",35,55,40,40,45,60,50% Male, 50% Female,39,eelektrik,level-up,"indeterminate"
eelektrik,"levitate",65,85,70,70,75,40,50% Male, 50% Female,39,eelektrik,level-up,"indeterminate"
eelektross,"levitate",85,115,80,80,105,50,50% Male, 50% Female,39,eelektrik,level-up,"indeterminate"
elgyem,"telepathy, synchronize, analytic",55,55,55,55,85,30,50% Male, 50% Female,42,beheeyem,level-up,"humanshape"
beheeyem,"telepathy, synchronize, analytic",75,75,75,95,125,40,50% Male, 50% Female,42,beheeyem,level-up,"humanshape"
litwick,"flash-fire, flame-body, infiltrator",50,30,55,55,65,20,50% Male, 50% Female,41,lampent,level-up,"indeterminate"
lampent,"flash-fire, flame-body, infiltrator",60,40,60,60,95,55,50% Male, 50% Female,41,lampent,level-up,"indeterminate"
chandelure,"flash-fire, flame-body, infiltrator",60,55,90,90,145,80,50% Male, 50% Female,41,lampent,level-up,"indeterminate"
axew,"rivalry, mold-breaker, unnerve",46,87,60,40,30,57,50% Male, 50% Female,38,fraxure,level-up,"monster, dragon"
fraxure,"rivalry, mold-breaker, unnerve",66,117,70,50,40,67,50% Male, 50% Female,38,fraxure,level-up,"monster, dragon"
haxorus,"rivalry, mold-breaker, unnerve",76,147,90,70,60,97,50% Male, 50% Female,38,fraxure,level-up,"monster, dragon"
cubchoo,"snow-cloak, slush-rush, rattled",55,70,40,40,60,40,50% Male, 50% Female,37,beartic,level-up,"ground"
beartic,"snow-cloak, slush-rush, swift-swim",95,130,80,80,70,50,50% Male, 50% Female,37,beartic,level-up,"ground"
cryogonal,"levitate",80,50,50,135,95,105,Genderless,,,,"mineral"
shelmet,"hydration, shell-armor, overcoat",50,40,85,65,40,25,50% Male, 50% Female,,accelgor,trade,"bug"
accelgor,"hydration, sticky-hold, unburden",80,70,40,60,100,145,50% Male, 50% Female,,accelgor,trade,"bug"
stunfisk,"static, limber, sand-veil",109,66,84,99,81,32,50% Male, 50% Female,,,,"water1, indeterminate"
mienfoo,"inner-focus, regenerator, reckless",45,85,50,50,55,65,50% Male, 50% Female,50,mienshao,level-up,"ground, humanshape"
mienshao,"inner-focus, regenerator, reckless",65,125,60,60,95,105,50% Male, 50% Female,50,mienshao,level-up,"ground, humanshape"
druddigon,"rough-skin, sheer-force, mold-breaker",77,120,90,90,60,48,50% Male, 50% Female,,,,"dragon, monster"
golett,"iron-fist, klutz, no-guard",59,74,50,50,35,35,Genderless,43,golurk,level-up,"mineral"
golurk,"iron-fist, klutz, no-guard",89,124,80,80,55,55,Genderless,43,golurk,level-up,"mineral"
pawniard,"defiant, inner-focus, pressure",45,85,70,40,40,60,50% Male, 50% Female,52,bisharp,level-up,"humanshape"
bisharp,"defiant, inner-focus, pressure",65,125,100,70,60,70,50% Male, 50% Female,52,bisharp,level-up,"humanshape"
bouffalant,"reckless, sap-sipper, soundproof",95,110,95,95,40,55,50% Male, 50% Female,,,,"ground"
rufflet,"keen-eye, sheer-force, hustle",70,83,50,50,37,60,Male only,54,braviary,level-up,"flying"
braviary,"keen-eye, sheer-force, defiant",100,123,75,75,57,80,Male only,54,braviary,level-up,"flying"
vullaby,"big-pecks, overcoat, weak-armor",70,55,75,65,45,60,Female only,54,mandibuzz,level-up,"flying"
mandibuzz,"big-pecks, overcoat, weak-armor",110,65,105,95,55,80,Female only,54,mandibuzz,level-up,"flying"
heatmor,"gluttony, flash-fire, white-smoke",85,97,66,66,105,65,50% Male, 50% Female,,,,"ground"
durant,"swarm, hustle, truant",58,109,112,48,48,109,50% Male, 50% Female,,,,"bug"
deino,"hustle",52,65,50,50,45,38,50% Male, 50% Female,50,zweilous,level-up,"dragon"
zweilous,"hustle",72,85,70,70,65,58,50% Male, 50% Female,50,zweilous,level-up,"dragon"
hydreigon,"levitate",92,105,90,90,125,98,50% Male, 50% Female,50,zweilous,level-up,"dragon"
larvesta,"flame-body, swarm",55,85,55,55,50,60,50% Male, 50% Female,59,volcarona,level-up,"bug"
volcarona,"flame-body, swarm",85,60,65,105,135,100,50% Male, 50% Female,59,volcarona,level-up,"bug"
cobalion,"justified",91,90,129,72,90,108,Genderless,,,,"no-eggs"
terrakion,"justified",91,129,90,90,72,108,Genderless,,,,"no-eggs"
virizion,"justified",91,90,72,129,90,108,Genderless,,,,"no-eggs"
tornadus-incarnate,"prankster, defiant",79,115,70,80,125,111,Male only,,,,"no-eggs"
thundurus-incarnate,"prankster, defiant",79,115,70,80,125,111,Male only,,,,"no-eggs"
reshiram,"turboblaze",100,120,100,120,150,90,Genderless,,,,"no-eggs"
zekrom,"teravolt",100,150,120,100,120,90,Genderless,,,,"no-eggs"
landorus-incarnate,"sand-force, sheer-force",89,125,90,80,115,101,Male only,,,,"no-eggs"
kyurem,"pressure",125,130,90,90,130,95,Genderless,,,,"no-eggs"
keldeo-ordinary,"justified",91,72,90,90,129,108,Genderless,,,,"no-eggs"
meloetta-aria,"serene-grace",100,77,77,128,128,90,Genderless,,,,"no-eggs"
genesect,"download",71,120,95,95,120,99,Genderless,,,,"no-eggs"
chespin,"overgrow, bulletproof",56,61,65,45,48,38,87.5% Male, 12.5% Female,16,quilladin,level-up,"ground"
quilladin,"overgrow, bulletproof",61,78,95,58,56,57,87.5% Male, 12.5% Female,16,quilladin,level-up,"ground"
chesnaught,"overgrow, bulletproof",88,107,122,75,74,64,87.5% Male, 12.5% Female,16,quilladin,level-up,"ground"
fennekin,"blaze, magician",40,45,40,60,62,60,87.5% Male, 12.5% Female,16,braixen,level-up,"ground"
braixen,"blaze, magician",59,59,58,70,90,73,87.5% Male, 12.5% Female,16,braixen,level-up,"ground"
delphox,"blaze, magician",75,69,72,100,114,104,87.5% Male, 12.5% Female,16,braixen,level-up,"ground"
froakie,"torrent, protean",41,56,40,44,62,71,87.5% Male, 12.5% Female,16,frogadier,level-up,"water1"
frogadier,"torrent, protean",54,63,52,56,83,97,87.5% Male, 12.5% Female,16,frogadier,level-up,"water1"
greninja,"torrent, protean",72,95,67,71,103,122,87.5% Male, 12.5% Female,16,frogadier,level-up,"water1"
bunnelby,"pickup, cheek-pouch, huge-power",38,36,38,36,32,57,50% Male, 50% Female,20,diggersby,level-up,"ground"
diggersby,"pickup, cheek-pouch, huge-power",85,56,77,77,50,78,50% Male, 50% Female,20,diggersby,level-up,"ground"
fletchling,"big-pecks, gale-wings",45,50,43,38,40,62,50% Male, 50% Female,17,fletchinder,level-up,"flying"
fletchinder,"flame-body, gale-wings",62,73,55,52,56,84,50% Male, 50% Female,17,fletchinder,level-up,"flying"
talonflame,"flame-body, gale-wings",78,81,71,69,74,126,50% Male, 50% Female,17,fletchinder,level-up,"flying"
scatterbug,"shield-dust, compound-eyes, friend-guard",38,35,40,25,27,35,50% Male, 50% Female,9,spewpa,level-up,"bug"
spewpa,"shed-skin, friend-guard",45,22,60,30,27,29,50% Male, 50% Female,9,spewpa,level-up,"bug"
vivillon,"shield-dust, compound-eyes, friend-guard",80,52,50,50,90,89,50% Male, 50% Female,9,spewpa,level-up,"bug"
litleo,"rivalry, unnerve, moxie",62,50,58,54,73,72,12.5% Male, 87.5% Female,35,pyroar,level-up,"ground"
pyroar,"rivalry, unnerve, moxie",86,68,72,66,109,106,12.5% Male, 87.5% Female,35,pyroar,level-up,"ground"
flabebe,"flower-veil, symbiosis",44,38,39,79,61,42,Female only,19,floette,level-up,"fairy"
floette,"flower-veil, symbiosis",54,45,47,98,75,52,Female only,19,floette,level-up,"fairy"
florges,"flower-veil, symbiosis",78,65,68,154,112,75,Female only,19,floette,level-up,"fairy"
skiddo,"sap-sipper, grass-pelt",66,65,48,57,62,52,50% Male, 50% Female,32,gogoat,level-up,"ground"
gogoat,"sap-sipper, grass-pelt",123,100,62,81,97,68,50% Male, 50% Female,32,gogoat,level-up,"ground"
pancham,"iron-fist, mold-breaker, scrappy",67,82,62,48,46,43,50% Male, 50% Female,32,pangoro,level-up,"ground, humanshape"
pangoro,"iron-fist, mold-breaker, scrappy",95,124,78,71,69,58,50% Male, 50% Female,32,pangoro,level-up,"ground, humanshape"
furfrou,"fur-coat",75,80,60,90,65,102,50% Male, 50% Female,,,,"ground"
espurr,"keen-eye, infiltrator, own-tempo",62,48,54,60,63,68,50% Male, 50% Female,25,meowstic,level-up,"ground"
meowstic-male,"keen-eye, infiltrator, prankster",74,48,76,81,83,104,50% Male, 50% Female,25,meowstic,level-up,"ground"
honedge,"no-guard",45,80,100,37,35,28,50% Male, 50% Female,35,doublade,level-up,"mineral"
doublade,"no-guard",59,110,150,49,45,35,50% Male, 50% Female,35,doublade,level-up,"mineral"
aegislash-shield,"stance-change",60,50,140,140,50,60,50% Male, 50% Female,35,doublade,level-up,"mineral"
spritzee,"healer, aroma-veil",78,52,60,65,63,23,50% Male, 50% Female,,aromatisse,trade,"fairy"
aromatisse,"healer, aroma-veil",101,72,72,89,99,29,50% Male, 50% Female,,aromatisse,trade,"fairy"
swirlix,"sweet-veil, unburden",62,48,66,57,59,49,50% Male, 50% Female,,slurpuff,trade,"fairy"
slurpuff,"sweet-veil, unburden",82,80,86,75,85,72,50% Male, 50% Female,,slurpuff,trade,"fairy"
inkay,"contrary, suction-cups, infiltrator",53,54,53,46,37,45,50% Male, 50% Female,30,malamar,level-up,"water1, water2"
malamar,"contrary, suction-cups, infiltrator",86,92,88,75,68,73,50% Male, 50% Female,30,malamar,level-up,"water1, water2"
binacle,"tough-claws, sniper, pickpocket",42,52,67,56,39,50,50% Male, 50% Female,39,barbaracle,level-up,"water3"
barbaracle,"tough-claws, sniper, pickpocket",72,105,115,86,54,68,50% Male, 50% Female,39,barbaracle,level-up,"water3"
skrelp,"poison-point, poison-touch, adaptability",50,60,60,60,60,30,50% Male, 50% Female,48,dragalge,level-up,"water1, dragon"
dragalge,"poison-point, poison-touch, adaptability",65,75,90,123,97,44,50% Male, 50% Female,48,dragalge,level-up,"water1, dragon"
clauncher,"mega-launcher",50,53,62,63,58,44,50% Male, 50% Female,37,clawitzer,level-up,"water1, water3"
clawitzer,"mega-launcher",71,73,88,89,120,59,50% Male, 50% Female,37,clawitzer,level-up,"water1, water3"
helioptile,"dry-skin, sand-veil, solar-power",44,38,33,43,61,70,50% Male, 50% Female,,heliolisk,use-item,"monster, dragon"
heliolisk,"dry-skin, sand-veil, solar-power",62,55,52,94,109,109,50% Male, 50% Female,,heliolisk,use-item,"monster, dragon"
tyrunt,"strong-jaw, sturdy",58,89,77,45,45,48,87.5% Male, 12.5% Female,39,tyrantrum,level-up,"monster, dragon"
tyrantrum,"strong-jaw, rock-head",82,121,119,59,69,71,87.5% Male, 12.5% Female,39,tyrantrum,level-up,"monster, dragon"
amaura,"refrigerate, snow-warning",77,59,50,63,67,46,87.5% Male, 12.5% Female,39,aurorus,level-up,"monster"
aurorus,"refrigerate, snow-warning",123,77,72,92,99,58,87.5% Male, 12.5% Female,39,aurorus,level-up,"monster"
sylveon,"cute-charm, pixilate",95,65,65,130,110,60,87.5% Male, 12.5% Female,,vaporeon,use-item,"ground"
hawlucha,"limber, unburden, mold-breaker",78,92,75,63,74,118,50% Male, 50% Female,,,,"flying, humanshape"
dedenne,"cheek-pouch, pickup, plus",67,58,57,67,81,101,50% Male, 50% Female,,,,"ground, fairy"
carbink,"clear-body, sturdy",50,50,150,150,50,50,Genderless,,,,"fairy, mineral"
goomy,"sap-sipper, hydration, gooey",45,50,35,75,55,40,50% Male, 50% Female,40,sliggoo,level-up,"dragon"
sliggoo,"sap-sipper, hydration, gooey",68,75,53,113,83,60,50% Male, 50% Female,40,sliggoo,level-up,"dragon"
goodra,"sap-sipper, hydration, gooey",90,100,70,150,110,80,50% Male, 50% Female,40,sliggoo,level-up,"dragon"
klefki,"prankster, magician",57,80,91,87,80,75,50% Male, 50% Female,,,,"mineral"
phantump,"natural-cure, frisk, harvest",43,70,48,60,50,38,50% Male, 50% Female,,trevenant,trade,"plant, indeterminate"
trevenant,"natural-cure, frisk, harvest",85,110,76,82,65,56,50% Male, 50% Female,,trevenant,trade,"plant, indeterminate"
pumpkaboo-average,"pickup, frisk, insomnia",49,66,70,55,44,51,50% Male, 50% Female,,gourgeist,trade,"indeterminate"
gourgeist-average,"pickup, frisk, insomnia",65,90,122,75,58,84,50% Male, 50% Female,,gourgeist,trade,"indeterminate"
bergmite,"own-tempo, ice-body, sturdy",55,69,85,35,32,28,50% Male, 50% Female,37,avalugg,level-up,"monster, mineral"
avalugg,"own-tempo, ice-body, sturdy",95,117,184,46,44,28,50% Male, 50% Female,37,avalugg,level-up,"monster, mineral"
noibat,"frisk, infiltrator, telepathy",40,30,35,40,45,55,50% Male, 50% Female,48,noivern,level-up,"flying, dragon"
noivern,"frisk, infiltrator, telepathy",85,70,80,80,97,123,50% Male, 50% Female,48,noivern,level-up,"flying, dragon"
xerneas,"fairy-aura",126,131,95,98,131,99,Genderless,,,,"no-eggs"
yveltal,"dark-aura",126,131,95,98,131,99,Genderless,,,,"no-eggs"
zygarde-50,"aura-break",108,100,121,95,81,95,Genderless,,,,"no-eggs"
diancie,"clear-body",50,100,150,150,100,50,Genderless,,,,"no-eggs"
hoopa,"magician",80,110,60,130,150,70,Genderless,,,,"no-eggs"
volcanion,"water-absorb",80,110,120,90,130,70,Genderless,,,,"no-eggs"
rowlet,"overgrow, long-reach",68,55,55,50,50,42,87.5% Male, 12.5% Female,17,dartrix,level-up,"flying"
dartrix,"overgrow, long-reach",78,75,75,70,70,52,87.5% Male, 12.5% Female,17,dartrix,level-up,"flying"
decidueye,"overgrow, long-reach",78,107,75,100,100,70,87.5% Male, 12.5% Female,17,dartrix,level-up,"flying"
litten,"blaze, intimidate",45,65,40,40,60,70,87.5% Male, 12.5% Female,17,torracat,level-up,"ground"
torracat,"blaze, intimidate",65,85,50,50,80,90,87.5% Male, 12.5% Female,17,torracat,level-up,"ground"
incineroar,"blaze, intimidate",95,115,90,90,80,60,87.5% Male, 12.5% Female,17,torracat,level-up,"ground"
popplio,"torrent, liquid-voice",50,54,54,56,66,40,87.5% Male, 12.5% Female,17,brionne,level-up,"water1, ground"
brionne,"torrent, liquid-voice",60,69,69,81,91,50,87.5% Male, 12.5% Female,17,brionne,level-up,"water1, ground"
primarina,"torrent, liquid-voice",80,74,74,116,126,60,87.5% Male, 12.5% Female,17,brionne,level-up,"water1, ground"
